GEOID,homeless_count
13121006601,1
13089021405,0
13089021502,0
13089022401,0
13089022403,0
13089022700,0
13121001400,0
13121001600,0
13121003600,0
13121009802,1
13121006801,0
13121009700,1
13121002500,0
13121007100,0
13121007200,1
13121006200,0
13121004200,0
13121003700,0
13121010211,2
13121012000,0
13121007002,1
13121009900,105
13121011000,0
13121000100,1
13121000400,1
13121000502,0
13121008905,1
13121000601,1
13121011802,4
13121009405,0
13121009203,2
13121000202,2
13121008909,0
13121008701,2
13121009411,0
13121009409,0
13121010003,34
13121010006,0
13121009406,1
13121009301,0
13121009105,0
13121009408,0
13121000602,1
13121007809,0
13121008203,0
13121007810,2
13121007710,2
13121011309,0
13121009604,0
13121005504,0
13121010307,0
13121001101,5
13121007709,1
13121009410,0
13121001102,7
13121001204,4
13121001205,33
13121001203,8
13121001902,29
13121001301,3
13121011901,0
13121008906,0
13121008907,0
13121009504,111
13121009804,3
13121009104,0
13121001206,17
13121009103,0
13121000501,0
13089022405,0
13089021506,0
13089021104,0
13089023444,0
13089021505,0
13089023701,1
13089020901,26
13089020902,0
13089023702,0
13089022404,0
13089021103,0
13121002900,0
13121006602,0
13089023803,0
13089023801,0
13121007705,0
13121009601,41
13089022800,0
13089022900,0
13089023601,0
13089021415,0
13089023101,0
13089020802,0
13121001001,66
13121008903,0
13121004300,0
13121007603,0
13121007604,1
13121007703,1
13121011306,0
13121009501,7
13089020700,0
13121011100,0
13121001802,2
13121002801,0
13121001801,1
13121010312,0
13121002802,1
13121011902,0
13121010801,0
13121010802,1
13121001702,0
13121008702,1
13121008802,0
13121007302,0
13121007711,2
13121011203,0
13121001502,0
13121008801,0
13121008908,0
13121009002,0
13121009001,1
13121007301,1
13121010305,0
13121007707,1
13121007708,0
13121011204,0
13121009106,0
13121009202,0
13121006702,1
13121005503,0
13121006701,0
13121009302,0
13121009201,0
13121009803,0
13121009605,2
13121010223,0
13121009607,0
13121008204,0
13121008103,0
13121008104,0
13121000201,0
13121001501,0
13121001302,0
13121009503,0
13121009407,0
13121009606,1
13121011801,0
13121010136,0
13121010004,1
13121010005,0
13121010007,0
13121001901,10
13121001701,0
13121011301,0
13089020400,0
13089020500,3
13089020600,0
13089020801,0
13121001002,77
13121000700,1
13089023802,0
13089020100,0
13089020200,0
13089020300,0
13121006802,0
13121006900,0
13121007001,2
13121007400,0
13121007602,0
13121002100,33
13121002300,0
13121007805,0
13121007806,1
13121002400,2
13121002600,1
13121003000,0
13121003100,19
13121003200,12
13121003500,0
13121003800,0
13121007807,0
13121007808,2
13121007900,0
13121008000,1
13121004000,0
13121004100,0
13121004400,1
13121004800,0
13121003900,0
13121004900,0
13121005000,48
13121005200,180
13121005300,13
13121008202,1
13121008301,0
13121008302,0
13121008400,0
13121008500,3
13121008601,2
13121005501,1
13121005700,0
13121005800,0
13121006100,1
13121006300,0
13121006400,0
13121006500,1
13121008602,0
13121007500,0
13121006000,1
13089980000,0
